ability_name,ability_description,Generation
Gooey,Contact with the Pokémon lowers the attacker's Speed stat.,6
Gale Wings,Gives priority to Flying-type moves.,6
Fur Coat,Reduces damage from physical moves.,6
Flower Veil,Prevents lowering of ally Grass-type Pokémon's stats.,6
Fairy Aura,Raises power of Fairy type moves for all Pokémon in battle.,6
Desolate Land,Turns the sunlight extremely harsh when the ability activates.,6
Delta Stream,Creates strong winds when the ability activates.,6
Dark Aura,Raises power of Dark type moves for all Pokémon in battle.,6
Competitive,Sharply raises Special Attack when the Pokémon's stats are lowered.,6
Cheek Pouch,Restores additional HP when a Berry is consumed.,6
Bulletproof,Protects the Pokémon from ball and bomb moves.,6
Aura Break,Reduces power of Dark- and Fairy-type moves.,6
Aroma Veil,Protects allies from attacks that limit their move choices.,6
Aerilate,Turns Normal-type moves into Flying-type moves.,6
Wimp Out,Switches out when HP drops below half.,7
Water Compaction,Sharply raises Defense when hit by a Water-type move.,7
Water Bubble,Halves damage from Fire-type moves doubles power of Water-type moves used and prevents burns.,7
Triage,Gives priority to restorative moves.,7
Tangling Hair,Contact with the Pokémon lowers the attacker's Speed stat.,7
Surge Surfer,Doubles Speed during Electric Terrain.,7
Steelworker,Powers up Steel-type moves.,7
Stamina,Raises Defense when attacked.,7
Stakeout,Deals double damage to Pokémon switching in.,7
Soul-Heart,Raises Special Attack when an ally faints.,7
Slush Rush,Boosts the Pokémon's Speed stat in a hailstorm.,7
Shields Down,Changes stats when HP drops below half.,7
Shadow Shield,Reduces damage when HP is full.,7
Schooling,Changes Wishiwashi to School Form.,7
RKS System,Changes type depending on held item.,7
Receiver,Inherits an ally's ability when it faints.,7
Queenly Majesty,Prevents use of priority moves.,7
Psychic Surge,The Pokémon creates a Psychic Terrain when it enters a battle.,7
Prism Armor,Reduces damage from super-effective attacks.,7
Power of Alchemy,The Pokémon copies the Ability of a defeated ally.,7
Power Construct,Changes form when HP drops below half.,7
Neuroforce,Powers up moves that are super effective.,7
Misty Surge,The Pokémon creates a Misty Terrain when it enters a battle.,7
Merciless,The Pokémon's attacks become critical hits if the target is poisoned.,7
Long Reach,The Pokémon uses its moves without making contact with the target.,7
Liquid Voice,All sound-based moves become Water-type moves.,7
Innards Out,Deals damage upon fainting.,7
Grassy Surge,The Pokémon creates a Grassy Terrain when it enters a battle.,7
Galvanize,Normal-type moves become Electric-type moves and their power boosted.,7
Full Metal Body,Prevents other Pokémon from lowering its stats.,7
Fluffy,Halves damage from contact moves but doubles damage from Fire-type moves.,7
Emergency Exit,Switches out when HP falls below 50%.,7
Electric Surge,The Pokémon creates an Electric Terrain when it enters a battle.,7
Disguise,Avoids damage for one turn.,7
Dazzling,Protects the Pokémon from high-priority moves.,7
Dancer,Copies the foe's Dance moves.,7
Corrosion,The Pokémon can poison Steel and Poison types.,7
Comatose,The Pokémon is always asleep but can still attack.,7
Berserk,Raises Special Attack when HP drops below half.,7
Beast Boost,The Pokémon boosts its most proficient stat each time it knocks out a Pokémon.,7
Battle Bond,Transform into Ash-Greninja after causing opponent to faint.,7
Battery,Raises power of teammates' Special moves.,7
Wandering Spirit,Swaps abilities with opponents on contact.,8
Unseen Fist,Contact moves can strike through Protect/Detect.,8
Transistor,Signature ability of Regieleki. Powers up Electric-type moves.,8
Steely Spirit,Powers up ally Pokémon's Steel-type moves.,8
Steam Engine,Drastically raises Speed when hit by a Fire- or Water-type move.,8
Stalwart,Ignores moves and abilities that draw in moves.,8
Screen Cleaner,Nullifies effects of Light Screen Reflect and Aurora Veil.,8
Sand Spit,Creates a sandstorm when hit by an attack.,8
Ripen,Doubles the effect of berries.,8
Quick Draw,,8
Punk Rock,Boosts sound-based moves and halves damage from the same moves.,8
Propeller Tail,Ignores moves and abilities that draw in moves.,8
Power Spot,Just being next to the Pokémon powers up moves.,8
Perish Body,When hit by a move that makes direct contact the Pokémon and the attacker will faint after three turns unless they switch out of battle.,8
Pastel Veil,Prevents the Pokémon and its allies from being poisoned.,8
Neutralizing Gas,Neutralizes abilities of all Pokémon in battle.,8
Mirror Armor,Reflects any stat-lowering effects.,8
Mimicry,Changes type depending on the terrain.,8
Libero,Changes the Pokémon's type to its last used move.,8
Intrepid Sword,Boosts Attack in battle.,8
Ice Scales,Halves damage from Special moves.,8
Ice Face,Avoids damage from Physical moves for one turn.,8
Hunger Switch,Changes forms each turn.,8
Gulp Missile,Returns with a catch in its mouth after using Surf or Dive.,8
Grim Neigh,Boosts Special Attack after knocking out a Pokémon.,8
Gorilla Tactics,Boosts the Pokémon's Attack stat but only allows the use of the first selected move.,8
Dragon's Maw,Signature ability of Regidrago. Powers up Dragon-type moves.,8
Dauntless Shield,Boosts Defense in battle.,8
Curious Medicine,Resets all stat changes upon entering battlefield.,8
Cotton Down,Lowers foe's Speed when hit.,8
Chilling Neigh,Boosts Attack after knocking out a Pokémon.,8
Ball Fetch,Retrieves a Poké Ball from a failed throw.,8
As One,Combines Unnerve and Chilling Neigh/Grim Neigh,8
